product_id,product_title,product_description,product_category
P343,Hiking Backpack (40L),Lightweight internal frame pack for day trips.,Outdoor & Travel Gear
P344,Memory Foam Neck Pillow,U-shaped travel pillow with washable cover.,Outdoor & Travel Gear
P345,Portable Power Bank,"20,000mAh battery for charging on the go.",Outdoor & Travel Gear
P346,Camping Hammock,Durable nylon parachute hammock with straps.,Outdoor & Travel Gear
P347,TSA-Approved Lock Set,2-pack of cable locks for luggage security.,Outdoor & Travel Gear
P348,Insulated Water Bottle,32oz vacuum-sealed stainless steel flask.,Outdoor & Travel Gear
P349,Compact Travel Umbrella,"Windproof, auto-open/close folding umbrella.",Outdoor & Travel Gear
P350,Headlamp (LED),Hands-free light for night hiking and camping.,Outdoor & Travel Gear
P351,Compression Packing Cubes,Set of 4 to maximize suitcase space.,Outdoor & Travel Gear
P352,Microfiber Travel Towel,"Fast-drying, space-saving towel for gym/hiking.",Outdoor & Travel Gear
P353,Universal Travel Adapter,Multi-plug converter for 150+ countries.,Outdoor & Travel Gear
P354,Collapsible Camp Chair,Ultra-light chair with carrying bag for events.,Outdoor & Travel Gear
P355,Bunny Plush Toy,"Soft, 12-inch stuffed bunny for seasonal gifting.",Pet Supplies
P356,Orthopedic Dog Bed,Memory foam bed for senior pet comfort.,Pet Supplies
P357,Automatic Cat Feeder,Programmable portion control for daily feeding.,Pet Supplies
P358,Retractable Dog Leash,16ft heavy-duty cord for small to medium dogs.,Pet Supplies
P359,Pet Grooming Kit,Cordless clippers and brushes for home grooming.,Pet Supplies
P360,Cat Scratching Post,Sisal-wrapped vertical post for healthy claws.,Pet Supplies
P361,Biodegradable Waste Bags,120-count bulk roll for eco-friendly cleanup.,Pet Supplies
P362,Bird Seed Mix,10lb bag of wild bird food with sunflower seeds.,Pet Supplies
P363,Aquarium Water Filter,Quiet internal filter for 20-gallon tanks.,Pet Supplies
P364,No-Pull Dog Harness,Adjustable reflective harness for safety.,Pet Supplies
P365,Interactive Laser Toy,Automatic rotating laser for cat exercise.,Pet Supplies
P366,Ceramic Pet Fountain,Constant flowing water to encourage hydration.,Pet Supplies
P367,Portable Pet Playpen,Foldable mesh enclosure for outdoor safety.,Pet Supplies
P368,Dental Chew Treats,30-pack of grain-free dental sticks for dogs.,Pet Supplies
P369,Microchip Pet Door,Entry system controlled by pet's ID chip.,Pet Supplies
P370,Couple's Journal,Guided journal with prompts for couples to record memories.,Stationery & Office
P371,Engraved Fountain Pen,Weighted metal fountain pen in a wooden gift case.,Stationery & Office
P372,Holiday Wrapping Kit,"3 rolls of paper, 10 bows, and gift tags.",Stationery & Office
P373,Gel Ink Pens (12pk),Smooth-writing 0.5mm black ink office pens.,Stationery & Office
P374,Dotted Bullet Journal,Hardcover A5 notebook for planning and notes.,Stationery & Office
P375,Ergonomic Mouse Pad,Memory foam wrist rest for long work sessions.,Stationery & Office
P376,Dry Erase Board,24x36 inch magnetic whiteboard for home office.,Stationery & Office
P377,Paper Shredder,Cross-cut security shredder for sensitive docs.,Stationery & Office
P378,Stapler (Heavy Duty),50-sheet capacity metal stapler for thick piles.,Stationery & Office
P379,Sticky Note Variety Pack,Neon colors in various sizes for reminders.,Stationery & Office
P380,Desk Organizer Set,Mesh metal compartments for pens and clips.,Stationery & Office
P381,File Folders (100pk),Letter size manila folders for filing cabinets.,Stationery & Office
P382,Standing Desk Converter,Adjustable height riser for laptop or monitor.,Stationery & Office
P383,Wireless Presenter Remote,Laser pointer and slide clicker for meetings.,Stationery & Office
P384,Laminating Machine,Thermal laminator for preserving documents.,Stationery & Office
